doc;source;author;title;year;text_type
LISBarzini1.txt;LIS;Luigi Barzini jr;«Non ci credo ancora» dice Grace subito dopo il rito che la consacra principessa;1956;stampa
li1489.txt;CLiGS Ro;Luigi Capuana;Profumo;1892;prosa letteraria
it0154.txt;CLiGS Ku;Luigi Capuana;Fausto;1897;prosa letteraria
it0155.txt;CLiGS Ku;Luigi Capuana;Crattere;1897;prosa letteraria
it0156.txt;CLiGS Ku;Luigi Capuana;Confessione;1897;prosa letteraria
it0139.txt;CLiGS Ku;Luigi Capuana;Pasqua;1913;prosa letteraria
it0140.txt;CLiGS Ku;Luigi Capuana;Dora;1913;prosa letteraria
it0141.txt;CLiGS Ku;Luigi Capuana;Sanguedolce;1913;prosa letteraria
it0142.txt;CLiGS Ku;Luigi Capuana;Rinnovamento;1913;prosa letteraria
it0143.txt;CLiGS Ku;Luigi Capuana;Mignatta;1913;prosa letteraria
it0144.txt;CLiGS Ku;Luigi Capuana;Santuario;1913;prosa letteraria
it0145.txt;CLiGS Ku;Luigi Capuana;Bicci;1913;prosa letteraria
it0146.txt;CLiGS Ku;Luigi Capuana;Inconsolabile;1913;prosa letteraria
it0147.txt;CLiGS Ku;Luigi Capuana;Lusinga;1913;prosa letteraria
it0148.txt;CLiGS Ku;Luigi Capuana;Ideale;1913;prosa letteraria
it0149.txt;CLiGS Ku;Luigi Capuana;Sogno;1913;prosa letteraria
it0150.txt;CLiGS Ku;Luigi Capuana;Arme;1913;prosa letteraria
it0151.txt;CLiGS Ku;Luigi Capuana;Tragedia;1913;prosa letteraria
it0152.txt;CLiGS Ku;Luigi Capuana;Ramaglia;1913;prosa letteraria
it0153.txt;CLiGS Ku;Luigi Capuana;Selvagggio;1913;prosa letteraria
it0127.txt;CLiGS Ku;Luigi Capuana;Jela;1921;prosa letteraria
it0128.txt;CLiGS Ku;Luigi Capuana;Orrori;1921;prosa letteraria
it0129.txt;CLiGS Ku;Luigi Capuana;Sogno;1921;prosa letteraria
it0130.txt;CLiGS Ku;Luigi Capuana;Bruttina;1921;prosa letteraria
it0131.txt;CLiGS Ku;Luigi Capuana;Marito;1921;prosa letteraria
it0132.txt;CLiGS Ku;Luigi Capuana;Suo Amore;1921;prosa letteraria
it0133.txt;CLiGS Ku;Luigi Capuana;Ci Siamo;1921;prosa letteraria
it0134.txt;CLiGS Ku;Luigi Capuana;L'Uomo;1921;prosa letteraria
it0135.txt;CLiGS Ku;Luigi Capuana;Pensione;1921;prosa letteraria
it0136.txt;CLiGS Ku;Luigi Capuana;Bivio;1921;prosa letteraria
it0137.txt;CLiGS Ku;Luigi Capuana;Ostacolo;1921;prosa letteraria
it0138.txt;CLiGS Ku;Luigi Capuana;Ciccio;1921;prosa letteraria
diacorisCapuana1.txt;DiaCoris;Luigi Capuana;Giacinta;1889;prosa letteraria
diacorisCecchini1.txt;DiaCoris;Luigi Cecchini;I cestisti del Simmenthal campioni d'Europa;1966;stampa
BibItGregori3.txt;BibIt;Luigi de Gregori;Libro/ biblioteche e associazioni bibliotecarie;1928;espositivo
BibItGregori1.txt;BibIt;Luigi de Gregori;Biblioteche;1931;espositivo
BibItGregori2.txt;BibIt;Luigi de Gregori;Il bibliotecario;1947;espositivo
Personali.V.4.Testo.txt;MIDIA;Luigi Desanctis;Roma papale;1828;personale
Scientifici.V.16.Testo.txt;MIDIA;Luigi Einaudi;La terra e l’imposta;1942;espositivo
LLGrande1.txt;Liber Liber;Luigi Grande;Diritto all'ozio;1956;prosa letteraria
LLGrande2.txt;Liber Liber;Luigi Grande;L'incoerenza;1975;prosa letteraria
LLGrande3.txt;Liber Liber;Luigi Grande;L'onore;1969;prosa letteraria
LISLocatelli1.txt;LIS;Luigi Locatelli;Uno spogliarello turco per la haute romana a Trastevere ;1958;stampa
LISLocatelli2.txt;LIS;Luigi Locatelli;Pasolini col Vangelo alla mano muove gli attori senza volto ;1964;stampa
ProsaLett.V.17.Testo.txt;MIDIA;Luigi Luigi Capuana;Profumo;1890;prosa letteraria
LLPirandello2.txt;Liber Liber;Luigi Pirandello;Il fu Mattia Pascal;1904;prosa letteraria
LLPirandello3.txt;Liber Liber;Luigi Pirandello;I vecchi e i giovani;1909;prosa letteraria
Teatro.V.16.Testo.txt;MIDIA;Luigi Pirandello;Pensaci Giacomino!;1916;teatro
Teatro.V.17.Testo.txt;MIDIA;Luigi Pirandello;Così è (se vi pare);1916;teatro
Teatro.V.18.Testo.txt;MIDIA;Luigi Pirandello;Il piacere dell’onestà;1916;teatro
Teatro.V.38.Testo.txt;MIDIA;Luigi Pirandello;La giara;1917;teatro
Teatro.V.19.Testo.txt;MIDIA;Luigi Pirandello;Sei personaggi in cerca d’autore;1921;teatro
diacorisPirandello2.txt;DiaCoris;Luigi Pirandello;La vita nuda;1922;prosa letteraria
Teatro.V.20.Testo.txt;MIDIA;Luigi Pirandello;Enrico IV;1922;teatro
ProsaLett.V.34.Testo.txt;MIDIA;Luigi Pirandello;Uno nessuno centomila;1926;prosa letteraria
Teatro.V.22.Testo.txt;MIDIA;Luigi Pirandello;O di uno o di nessuno;1927;teatro
Teatro.V.21.Testo.txt;MIDIA;Luigi Pirandello;La nuova colonia;1928;teatro
Teatro.V.37.Testo.txt;MIDIA;Luigi Pirandello;Come tu mi vuoi;1930;teatro
LLPirandello1.txt;Liber Liber;Luigi Pirandello;Una giornata;1937;prosa letteraria
Scientifici.IV.16.Testo.txt;MIDIA;Luigi Rolando;Saggio sopra la vera struttura del cervello dell'uomo e degli animali;1809;espositivo
Personali.V.5.Testo.txt;MIDIA;Luigi Settembrini;Ricordanze della mia vita ;1892;personale
LLAccati1.txt;Liber Liber;Luisa Accati;Il matrimonio di Raffaele Albanese;1994;prosa letteraria
diacorisMC1.txt;DiaCoris;M.C. / L'Unità;Oggi Pietro Koch sarà fucilato;1945;stampa
Espositivi.V.33.Testo.txt;MIDIA;Maffeo Pantaleoni;Della divisione del lavoro in attribuzioni maschili e femminili ;1924;espositivo
LISLualdi1.txt;LIS;Maner Lualdi;Una strana macchina volante avvistata all'aeroporto di Linate ;1954;stampa
LISCancogni1.txt;LIS;Manlio Cancogni;Il maglione di don Zeno e la porpora del cardinale ;1952;stampa
BibItContarini1.txt;BibIt;Marco Contarini;Relazione di Marco Contarini (1746);1746;personale
BibItFoscarini1.txt;BibIt;Marco Foscarini;Relazione di Germania (1736);1736;personale
Espositivi.V.47.Testo.txt;MIDIA;Marco Minghetti;Stato e Chiesa;1878;espositivo
Teatro.V.13.Testo.txt;MIDIA;Marco Praga ;La moglie ideale;1890;teatro
LLBorgese1.txt;Liber Liber;Maria Borgese;12 donne e 2 cani;1935;prosa letteraria
LLBorgese2.txt;Liber Liber;Maria Borgese;La contessa Lara;1936;prosa letteraria
Personali.IV.39.Testo.txt;MIDIA;Maria Conti Belli;Lettere di Maria Conti Belli al marito e al figlio (1829-1837);1829;personale
LLBerneri1.txt;Liber Liber;Maria Luisa Berneri;Viaggio attraverso Utopia;1949;prosa letteraria
LLAppelius1.txt;Liber Liber;Mario Appelius;Asia gialla;1926;espositivo
LLAppelius3.txt;Liber Liber;Mario Appelius;La sfinge nera;1926;espositivo
LLAppelius2.txt;Liber Liber;Mario Appelius;Le isole del Raggio Verde;1929;espositivo
LLAppelius4.txt;Liber Liber;Mario Appelius;Yu-Ri-Sàn/ la pittrice di crisantemi;1939;prosa letteraria
LLBetti1.txt;Liber Liber;Mario Betti;Alchimia e Chimica;1929;espositivo
LLBetti2.txt;Liber Liber;Mario Betti;Commemorazione dell'accademico professore Giuseppe Plancher;1929;espositivo
Espositivi.V.29.Testo.txt;MIDIA;Mario Calderoni;I postulati della scienza positiva e il diritto penale ;1901;espositivo
Scientifici.V.15.Testo.txt;MIDIA;Mario Calderoni;I postulati della scienza positiva ed il diritto penale;1901;espositivo
Espositivi.V.28.Testo.txt;MIDIA;Mario Calderoni;Disarmonie morali e disarmonie economiche ;1906;espositivo
LISCervi1.txt;LIS;Mario Cervi;Una donna che ha visto l'assassino lo riconosce nella foto di Raoul Ghiani;1958;stampa
ProsaLett.V.23.Testo.txt;MIDIA;Mario Pratesi;L’eredità;1885;prosa letteraria
diacorisRigoni1.txt;DiaCoris;Mario Rigoni Stern;Il sergente nella neve;1953;prosa letteraria
diacorisBernardi1.txt;DiaCoris;Marziano Bernardi / Casabella;Gusto e deformazione;1930;stampa
diacorisBontempelli1.txt;DiaCoris;Massimo Bontempelli;Vita e morte di Adria e dei suoi figli;1930;prosa letteraria
LISCaputo1.txt;LIS;Massimo Caputo;L'ultima giornata d'attesa fu la più straziante a Marcinelle;1956;stampa
ProsaLett.IV.11.Testo.txt;MIDIA;Massimo d'Azeglio;Ettore Fieramosca o la disfida di Barletta;1833;prosa letteraria
LLAzeglio1.txt;Liber Liber;Massimo d'Azeglio;Niccolò de Lapi / ovvero i Palleschi e i Piagnoni;1841;prosa letteraria
LLAzeglio3.txt;Liber Liber;Massimo d'Azeglio;Sull’emancipazione degli israeliti;1848;espositivo
LLAzeglio2.txt;Liber Liber;Massimo d'Azeglio;Racconti / leggende e ricordi della vita italiana;1856;personale
LISIntrovigne1.txt;LIS;Massimo Introvigne;Rol/ continua il mistero del sensitivo 'buono' ;2000;stampa
diacorisMila1.txt;DiaCoris;Massimo Mila;L'arte di Verdi;1958;espositivo
LLSerao1.txt;Liber Liber;Matilde Serao;Leggende napoletane;1881;prosa letteraria
ProsaLett.V.22.Testo.txt;MIDIA;Matilde Serao;Il ventre di Napoli;1884;prosa letteraria
LLSerao2.txt;Liber Liber;Matilde Serao;Le amanti;1894;prosa letteraria
li1050.txt;CLiGS Ro;Matilde Serao;La mano tagliata;1912;prosa letteraria
Espositivi.IV.18.Testo.txt;MIDIA;Matteo Angelo Galdi;Delle vicende e della rigenerazione de’ teatri;1797;espositivo
LISBlondet1.txt;LIS;Maurizio Blondet;Economisti/ che incompetenti;2000;stampa
Poesia.IV.26.Testo.txt;MIDIA;Melchiore Cesarotti;Poesie di Ossian;1801;poesia
diacorisMemini1.txt;DiaCoris;Memini;Mia;1884;prosa letteraria
LLAmari1.txt;Liber Liber;Michele Amari;La guerra del Vespro siciliano;1843;espositivo
LLAmari5.txt;Liber Liber;Michele Amari;Il vespro siciliano;1843;espositivo
LLAmari2.txt;Liber Liber;Michele Amari;Storia dei musulmani di Sicilia I;1854;espositivo
LLAmari3.txt;Liber Liber;Michele Amari;Storia dei musulmani di Sicilia II;1858;espositivo
LLAmari4.txt;Liber Liber;Michele Amari;Storia dei musulmani di Sicilia III.I;1868;espositivo
diacorisMondrioli1.txt;DiaCoris;Mondrioli;La partenza;1909;stampa
LISGinzburg1.txt;LIS;Natalia Ginzburg;Ragioni d'orgoglio ;1975;stampa
LISGinzburg2.txt;LIS;Natalia Ginzburg;Sulle sponde del Tigrai ;1970;stampa
LISGinzburg3.txt;LIS;Natalia Ginzburg;Cuore;1970;stampa
LISGinzburg4.txt;LIS;Natalia Ginzburg;Vita collettiva;1970;stampa
LISGinzburg5.txt;LIS;Natalia Ginzburg;Due comunisti;1970;stampa
LISGinzburg6.txt;LIS;Natalia Ginzburg;Villaggi ;1970;stampa
LISGinzburg7.txt;LIS;Natalia Ginzburg;Il bambino che ha visto gli orsi;1970;stampa
