;;doc;source;author;title;year;period;text_type;sentence
1801-1850;7863;GBterribilmente.csv;Gutenberg; Carlo Botta;Storia della Guerra della Independenza degli Stati Uniti di America, vol. 2;1836.0;1801-1850;prosa letteraria;['gonfiò molto terribilmente , e si alzò oltre trenta piedi sopra l  usato livello.']
1801-1850;7865;GBterribilmente.csv;Gutenberg; Carlo Botta;Storia della Guerra della Independenza degli Stati Uniti di America, vol. 4;1836.0;1801-1850;prosa letteraria;['fulminava soprattutto terribilmente colla sua nave il formidabile, e colle due sue seconde il namur, ed il duca, tutte e tre di novanta cannoni, l  ammiraglio']
1801-1850;7930;BibItManzoni20.txt;BibIt;Alessandro Manzoni;Storia della colonna infame;1840.0;1801-1850;prosa letteraria;"['pur troppo, l uomo può ingannarsi, e ingannarsi terribilmente, con molto minore stravaganza.', 'e dico un inganno divenuto più caro e prezioso che mai; giacchè, se prima il riconoscerli innocenti era per que  giudici un perder l occasione di condannare, ormai sarebbe stato un trovarsi terribilmente colpevoli; e le frodi, le violazioni della legge, che sapevano d aver commesse, ma che volevan creder giustificate dalla scoperta di così empi e funesti malfattori, non solo sarebbero ricomparse nel loro nudo e laido aspetto di frodi e di violazioni della legge, ma sarebbero comparse come produttrici d un orrendo assassinio.']"
1801-1850;7985;GBterribilmente.csv;Gutenberg; J.-C.-L. Simonde de (Jean-Charles-Léonard Simonde) Sismondi;Storia delle repubbliche italiane dei secoli di mezzo, v. 11 (of 16);1841.0;1801-1850;prosa letteraria;"['persone di qualità della detta città d  arras, ed altre persone di minor conto; e vennero talmente angustiate e così terribilmente tormentate, che gli uni confessarono essere loro accaduto tal caso, come abbiamo detto, e molti di più confessarono d']"
1801-1850;7986;GBterribilmente.csv;Gutenberg; Carlo Bini;Scritti editi e postumi;1841.0;1801-1850;prosa letteraria;"['  ora cantava in una lingua e in una musica affatto nuova;   ora s  incrociava le mani sul petto, nascondendosi le pupille terribilmente sotto le ciglia.']"
1801-1850;8177;GBterribilmente.csv;Gutenberg; Carlo Bianco;Della guerra nazionale d''insurrezione per bande, applicata all''Italia: Trattato dedicato ai buoni Italiani da un amico del Paese;1842.0;1801-1850;prosa letteraria;['comecchè messi in confusione, e terribilmente maltrattati, i francesi, con la celerità d  una truppa ben disciplinata, ed esperimentata, furono in un subito']
1801-1850;8208;LLBalbo1.txt;Liber Liber;Cesare Balbo;Della storia d'Italia dalle origini fino ai nostri giorni;1848.0;1801-1850;espositivo;['ma ciò posto ed eccettuato francamente, ed eccettuate forse alcune vendette personali terribilmente fatte con sue parole immortali, dante e il poema suo restan pure l uomo e il libro incontrastabilmente piú virili ed austeri della nostra letteratura: virile l uomo, nel saper sopportare le pubbliche, le segrete miserie dell esiglio, nel non saper sopportare né le insolenti protezioni delle corti né le insolentissime grazie di sua cittá, nel sapere dalla vita attiva, che pur anteponeva ma gli era negata, passare alacre alla letteraria e farvisi grande: virile poi ed austero il poema in amore, in costumi, in politica, in istile, e per quella stessa accumulazione di pensieri che fa del leggerlo una fatica, ma la piú virile, la piú sana fra le esercitazioni somministrate dalle lettere nazionali ai molli animi italiani.']
1801-1850;8213;GBterribilmente.csv;Gutenberg; Giambattista Bazzoni;"Falco della rupe; O, La guerra di Musso";1849.0;1801-1850;prosa letteraria;['medici si diede a fulminare terribilmente da   suoi legni esso pure, e mentre i ducali trovavansi in grave confusione perchè molte delle loro barche venivano']
1801-1850;8241;GBterribilmente.csv;Gutenberg; Giovanni Berchet;Opere, Volume Secondo : scritti critici e letterari;1850.0;1801-1850;prosa letteraria;['dell  india, a cui la povera sacontala, occupata da tutt  altri pensieri, trascurò di far le dovute accoglienze, grida terribilmente :  e che?']
1801-1850;8242;BibItManzoni3.txt;BibIt;Alessandro Manzoni;Dell'invenzione. Dialogo;1850.0;1801-1850;espositivo;['ne prendo il primo esempio che mi s affaccia alla mente: quello d un uomo eternamente celebre, non già per delle qualità straordinarie, ma per la parte tristamente e terribilmente principale, che fece in un periodo di quella rivoluzione: robespierre.']
