;doc;source;author;title;year;period;text_type;sentence
8496;diacorisMemini1.txt;DiaCoris;Memini;Mia;1884.0;1851-1900;prosa letteraria;['il padre loria non fece certamente apposta a inquietare e a stancare la duchessa milla , ma certo è che la inquietò e la stancò orribilmente , e il loro colloquio riuscì critico e tempestoso .', 'rispose giuliano , colla coscienza di dir cinque parole orribilmente vane e stonate .']
8500;GBorribilmente.csv;Gutenberg; Vittorio Imbriani;Fame usurpate;1885.0;1851-1900;prosa letteraria;"['il reato è scoverto, la giustizia accorre:    il bargello picchiava orribilmente , e più orribilmente il mio cuore; lieta, io mi affretto a spegnere le fiamme del mio dolore nella fredda morte.']"
8501;LLChelli1.txt;Liber Liber;Gaetano Carlo Chelli;L'eredità Ferramonti;1885.0;1851-1900;prosa letteraria;"['era diventato orribilmente pallido; restava come istupidito.']"
8504;diacorisGiarelli1.txt;DiaCoris;F. Giarelli / Cronaca Bizantina;Le streghe di Milano;1885.0;1851-1900;stampa;['tutte   sonnambule   , dalla prima all   ultima : e sono non meno di una cinquantina , e vi garantisco , che , non solo non sono sonnambule , perché dormono la loro brava notte come tanti ghiri , ma che altresì , essendo tutte orribilmente brutte non esiste fra esse e satanasso verun patto .']
8505;GBorribilmente.csv;Gutenberg; Vittorio Imbriani;Fame usurpate;1885.0;1851-1900;prosa letteraria;"['il reato è scoverto, la giustizia accorre:    il bargello picchiava orribilmente, e più orribilmente il mio cuore; lieta, io mi affretto a spegnere le fiamme del mio dolore nella fredda morte.']"
8506;ProsaLett.V.23.Testo.txt;MIDIA;Mario Pratesi;L’eredità;1885.0;1851-1900;prosa letteraria;['quelle donne, udendo cose che parevano impossibili ancora a loro, ne sorridevano compiacenti tra la nausea e i sospiri: e dopo il riso, torcendo orribilmente il collo e la bocca, e ingrossando il petto, c era uno stiramento lungo lungo di braccia.', 'quei convalescenti, dopo avergli sorriso e aver barattato con lui qualche parola, come se ne avessero temuto la vicinanza, lo lasciarono solo a tossire orribilmente con la testa appoggiata alle sbarre del finestrone: andandosene si dicevano a bassa voce che ormai per quel povero giovine era finita: e tutti:  povero giovane!']
8508;diacorisIntrozzi1.txt;DiaCoris;Gianpietro Introzzi (traduttore);Iginie dei piaceri secondo le età;1886.0;1851-1900;prosa letteraria;['le glandole erano oltremodo gonfie , gli cadevano i capelli a ciocche , la pelle gli si copriva di pustole , il virus straziava orribilmente il povero alfonso .']
8513;GBorribilmente.csv;Gutenberg; Caterina Percoto;Racconti;1886.0;1851-1900;prosa letteraria;"['la fraile a quell  atto orribilmente villano si coperse il volto; avrebbe voluto esser sottoterra, e stette lì in tutto quel baccano cogli occhi e colle']"
8517;GBorribilmente.csv;Gutenberg; Michele Amari;Storia dei musulmani di Sicilia, vol. II;1888.0;1851-1900;prosa letteraria;['la pestilenza e la carestia che in quel tempo desolavan orribilmente l  egitto, aiutarono al precipizio.']
8518;GBorribilmente.csv;Gutenberg; Michele Amari;Storia dei musulmani di Sicilia, vol. I;1888.0;1851-1900;prosa letteraria;[', furono voltati in latino e pubblicati dal caruso e dal muratori, e a ragione lasciati indietro dal di gregorio: tanto orribilmente il conte carli avea saputo sfigurare quella semplice tavola.']
